year,search term,sentiment score,Number of comments
2017,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.4341137931034482,29
2018,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.4348041666666666,24
2018,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4348041666666666,24
2018,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.4348041666666666,24
2018,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.4348041666666666,24
2018,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.4348041666666666,24
2019,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,-0.09056666666666667,6
2019,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,-0.09056666666666667,6
2019,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,-0.09056666666666667,6
2019,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,-0.09056666666666667,6
2019,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,-0.09056666666666667,6
2020,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.48625,4
2020,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.48625,4
2020,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.48625,4
2020,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.48625,4
2020,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.48625,4
2021,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0,0
